Pond ID,Section,Distance,Big_leaf_maple,Bitter_cherry,Black_hawthorne,Black_twinberry,Deer_fern,Douglas_fir,Dull_oregon_grape,English_holly,English_ivy,English_oak,Flowering_red_currant,Himalayan_blackberry,Indian_plum,Laurel,Paper_birch,Red_alder,Salmonberry,Snowberry,Sword_fern,Thimbleberry,Trailing_blackberry,Western_red_cedar
SW,N,2,0,80,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,0,5,0,15,0
SW,N,3,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,5,0,20,0
SW,N,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,10,0
SW,N,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0
SW,N,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,25,0
SW,E,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
SW,E,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
SW,E,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
SW,E,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,50,5
SW,E,10,0,0,0,0,0,0,0,100,0,0,0,10,0,0,0,0,0,0,100,0,10,0
SW,S,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,90,0
SW,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,50,0
SW,S,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,80,0,0,0,80,0
SW,S,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
SW,S,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0
SW,W,2,0,0,0,0,0,0,0,0,15,60,0,0,0,5,0,0,10,0,0,0,50,0
SW,W,3,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,40,0
SW,W,4,0,0,0,0,0,0,0,0,0,25,0,0,0,5,0,0,0,0,0,0,50,0
SW,W,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,75,0,0,0,10,0
SW,W,10,0,0,0,0,0,0,25,0,0,0,0,0,0,100,0,0,0,0,0,0,20,0
SE,W,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
SE,W,5,0,30,0,0,0,0,15,0,0,0,0,0,0,0,0,20,15,0,10,0,20,0
SE,W,10,0,0,0,0,0,0,0,0,0,50,0,0,0,5,0,50,30,0,0,0,5,0
SE,W,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
SE,W,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10,0
SE,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,25,0,0,0,60,0
SE,S,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,20,0
SE,S,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,5,0,40,0
SE,S,5,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,20,0,90,0,60,0
SE,S,6,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,20,10,0,100,0,60,0
SE,N,8,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,5,0,75,0
SE,N,10,0,0,0,10,0,0,0,0,0,60,0,0,15,0,0,60,0,0,0,0,15,30
SE,N,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,10,0,60,0
SE,N,3,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,30,0,100,0,25,0
SE,N,5,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,70,0,0,0,75,0
NW,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,30,0,20,0,15,0
NW,S,4,0,0,0,0,10,0,0,0,0,100,0,0,0,0,0,20,0,0,0,0,10,25
NW,S,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,0,0,0,0,50,0
NW,S,7,0,0,0,0,0,0,0,0,0,100,0,0,0,5,0,0,10,0,0,0,45,25
NW,S,6,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,5,0,0,0,35,0
NW,E,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20,0,0,0,5,0
NW,E,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,50,0,0,0,0,15,0
NW,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70,0,0,0,0,40,0
NW,E,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
NW,E,1,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,50,0,0,0,0,5,0
NW,N,5,10,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,5,10,0,0,30,0
NW,N,3,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,20,60,0,5,0,20,0
NW,N,1,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,15,0,40,0,10,0
NW,N,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,30,0,10,0
NW,N,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,40,0,100,0
NW,W,1,0,0,0,0,15,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,20,0
NW,W,4,0,20,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
NW,W,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,100,0,0,0,0,0,0
NW,W,7,0,0,0,0,0,0,0,10,0,100,0,0,0,20,0,0,0,0,0,0,0,0
NW,W,5,0,0,0,0,0,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,35
NE,S,2,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,35,0,75,0,40,0
NE,S,4,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,0,60,0,30,0
NE,S,10,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,5,10,0,0,0,50,20
NE,S,7,0,0,0,0,0,5,0,0,0,100,0,0,0,0,0,0,60,0,0,0,15,0
